,x,y
0,[11 11 10 12 12 12  9  9  9 11],[11 10 11  9 11  8  9 11  8 13]
1,[11 12 10 13 13 13 10 10 10 12],[11 10 12  9 11  8  9 11  8 13]
2,[12 12 10 14 14 14 11 11 11 13],[11  9 13  9 11  8  9 11  8 13]
3,[13 13 11 15 15 15 12 12 12 14],[11  9 13  9 11  8  9 11  8 13]
4,[14 14 12 16 16 16 13 13 13 15],[11  9 13  9 11  8  9 11  8 13]
5,[15 15 13 17 17 17 14 14 14 16],[11  9 13  9 11  8  9 11  8 13]
6,[16 16 14 18 17 18 15 15 15 17],[11  9 13  9 10  8  9 11  8 13]
7,[17 17 15 18 17 19 16 16 16 18],[11  9 13 10 10  8  9 11  8 13]
8,[17 18 16 19 18 20 17 16 17 19],[11  9 13 10 10  8  9 10  8 13]
9,[17 18 17 20 19 21 18 16 17 20],[10  8 13 10 10  8  9  9  9 13]
10,[18 19 18 21 20 22 18 16 18 21],[10  8 13 10 10  8  8  8  9 13]
11,[19 20 19 22 21 23 19 17 18 22],[10  8 13 10 10  8  8  8  8 13]
12,[20 21 20 23 22 23 20 17 19 23],[10  8 13 10 10  9  8  9  8 13]
13,[21 22 21 23 23 24 21 18 20 24],[10  8 13 11 10  9  8  9  8 13]
14,[22 23 22 24 23 25 22 18 21 25],[10  8 13 11 11  9  8  8  8 13]
15,[23 23 23 25 24 26 23 19 22 26],[10  9 13 11 11  9  8  8  8 13]
16,[23 24 24 26 25 27 23 20 23 27],[11  9 13 11 11  9  9  8  8 13]
17,[24 25 25 27 26 28 24 21 23 28],[11  9 13 11 11  9  9  8  9 13]
18,[25 26 26 28 27 29 25 22 24 29],[11  9 13 11 11  9  9  8  9 13]
19,[26 27 27 28 28 30 26 23 25 30],[11  9 13 10 11  9  9  8  9 13]
20,[27 28 28 29 28 31 27 23 26 31],[11  9 13 10 12  9  9  9  9 13]
21,[28 29 29 30 28 32 28 24 27 32],[11  9 13 10 13  9  9  9  9 13]
22,[28 30 30 31 29 33 29 25 28 33],[12  9 13 10 13  9  9  9  9 13]
23,[28 31 31 32 30 34 30 26 29 34],[13  9 13 10 13  9  9  9  9 13]
24,[29 32 32 33 31 35 31 27 30 35],[13  9 13 10 13  9  9  9  9 13]
25,[30 33 33 34 32 36 32 28 31 36],[13  9 13 10 13  9  9  9  9 13]
26,[31 34 34 35 33 36 33 29 32 37],[13  9 13 10 13 10  9  9  9 13]
27,[32 35 35 35 34 37 34 30 33 38],[13  9 13 11 13 10  9  9  9 13]
28,[33 36 36 36 35 38 35 31 34 39],[13  9 13 11 13 10  9  9  9 13]
29,[34 36 37 37 36 39 36 32 35 40],[13 10 13 11 13 10  9  9  9 13]
30,[35 37 38 38 37 40 36 33 36 41],[13 10 13 11 13 10 10  9  9 13]
31,[36 38 39 39 38 41 37 34 36 41],[13 10 13 11 13 10 10  9 10 14]
32,[37 39 40 40 39 42 38 35 37 42],[13 10 13 11 13 10 10  9 10 14]
33,[38 40 41 41 40 43 39 36 38 43],[13 10 13 11 13 10 10  9 10 14]
34,[39 41 41 42 41 44 40 36 39 44],[13 10 14 11 13 10 10 10 10 14]
35,[40 42 42 43 41 45 41 37 40 45],[13 10 14 11 14 10 10 10 10 14]
36,[41 43 43 44 42 46 42 38 41 46],[13 10 14 11 14 10 10 10 10 14]
37,[41 44 44 45 43 47 43 39 42 47],[12 10 14 11 14 10 10 10 10 14]
